Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,1,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,98.742,0.333,1.000,1.000,0.495
BOOKKEEPER,2,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,48.958,0.020,1.000,0.653,0.019
BOOKKEEPER,3,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,35.714,0.053,1.000,0.667,0.034
BOOKKEEPER,4,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,61.062,0.022,1.000,1.000,0.027
BOOKKEEPER,5,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,99.371,0.500,1.000,0.997,0.664
BOOKKEEPER,2,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,59.375,0.025,1.000,0.795,0.029
BOOKKEEPER,3,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,57.143,0.077,1.000,0.778,0.082
