Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa
STORM,1,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
STORM,1,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,97.479,0.000,0.000,0.924,-0.011
STORM,1,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,33.333,0.333,1.000,1.000,0.000
STORM,2,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,20.000,0.200,1.000,1.000,0.000
STORM,2,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,51.042,0.021,1.000,1.000,0.021
STORM,3,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,7.143,0.037,1.000,1.000,0.003
STORM,3,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,62.832,0.023,1.000,1.000,0.029
STORM,4,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,50.000,0.000,0.000,0.333,-0.333
STORM,4,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,21.053,0.032,1.000,0.216,0.012
STORM,5,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,39.295,0.004,1.000,1.000,0.003
STORM,5,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,31.596,0.002,1.000,0.563,0.001
STORM,5,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,24.271,0.001,1.000,1.000,0.000
STORM,6,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,23.077,0.091,1.000,0.167,0.030
STORM,6,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,31.515,0.001,1.000,0.399,0.001
STORM,6,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,12.209,0.007,1.000,0.930,0.002
STORM,7,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,20.561,0.012,1.000,0.849,0.005
