ID,Size,Predicted,Actual
0,0.0,0.8872075804818556,Yes
1,1.0,0.8914612470074891,Yes
2,2.0,0.8536194368834686,Yes
3,3.0,0.8761858653031743,Yes
4,4.0,0.900651011508376,Yes
5,5.0,0.6905537677389327,Yes
6,6.0,0.8357188004712712,Yes
7,7.0,0.14661818900535398,No
8,8.0,0.1423817313140484,No
9,9.0,0.10842533497733273,No
10,10.0,0.1297150692987378,No
11,11.0,0.13105561256602152,No
12,12.0,0.12804243077617264,No
13,13.0,0.12440038290976752,No
14,14.0,0.12297597231446837,No
15,15.0,0.12929853788415893,No
16,16.0,0.13864958639970226,No
17,17.0,0.16378056547650183,No
18,18.0,0.12508991326389393,No
19,19.0,0.11938177167398903,No
20,20.0,0.07289382001290025,No
21,21.0,0.12547589786563815,No
22,22.0,0.16518755469443863,No
23,23.0,0.127460426873916,No
24,24.0,0.15398096686203355,No
25,25.0,0.14888705094904506,No
26,26.0,0.12469954704220665,No
27,27.0,0.10963924253032174,No
28,28.0,0.1442024413428488,No
29,29.0,0.14783441624576854,No
30,30.0,0.07587930698480262,No
31,31.0,0.14999298099201244,No
32,32.0,0.10877058951870812,No
33,33.0,0.09254722372212978,No
34,34.0,0.1354349585054869,No
35,35.0,0.1566681408741265,No
36,36.0,0.18029266373770214,No
37,37.0,0.13334519852702992,No
38,38.0,0.07068895315544112,No
39,39.0,0.15555288028816108,No
40,40.0,0.17409735972641496,No
41,41.0,0.11355726295976361,No
42,42.0,0.11922795424829469,No
43,43.0,0.11719784135009238,No
44,44.0,0.09356779966642768,No
45,45.0,0.13266002535951651,No
46,46.0,0.09917548828223995,No
47,47.0,0.1396231041685688,No
48,48.0,0.15031822645406057,No
49,49.0,0.116220907771386,No
50,50.0,0.14721662463839985,No
51,51.0,0.1350812381291263,No
52,52.0,0.15815268531806212,No
53,53.0,0.1206779723078523,No
54,54.0,0.10345395212204006,No
55,55.0,0.17992976803854618,No
56,56.0,0.11390651817287319,No
57,57.0,0.11273060519939566,No
58,58.0,0.1586031480067071,No
59,59.0,0.1247625823325463,No
60,60.0,0.1795192649867246,No
61,61.0,0.14033450853613186,No
62,62.0,0.11479204646625096,No
63,63.0,0.12257755264482906,No
64,64.0,0.15513424564180767,No
65,65.0,0.12023761634008169,No
66,66.0,0.10278035089339486,No
67,67.0,0.1518088205335868,No
68,68.0,0.10981032379859708,No
69,69.0,0.1390193185056903,No
70,70.0,0.7853761563243382,Yes
71,71.0,0.8174993779199206,Yes
72,72.0,0.16066750269569657,No
73,73.0,0.13203957105809824,No
74,74.0,0.850304502185557,Yes
75,75.0,0.8712836728309065,Yes
