Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,80.946,0.872,0.523,0.966,0.534
BOOKKEEPER,1,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,80.703,0.872,0.515,0.954,0.527
BOOKKEEPER,2,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,82.376,0.882,0.557,0.955,0.569
BOOKKEEPER,3,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,83.419,0.888,0.603,0.961,0.607
BOOKKEEPER,4,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,5,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,84.635,0.889,0.631,0.963,0.634
BOOKKEEPER,5,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,1,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,66.016,1.000,0.013,0.506,0.016
BOOKKEEPER,1,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,81.033,0.884,0.517,0.741,0.534
BOOKKEEPER,1,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,2,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,97.702,1.000,0.933,0.967,0.948
BOOKKEEPER,2,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,80.746,0.882,0.509,0.737,0.526
BOOKKEEPER,2,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,3,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,99.871,1.000,0.996,0.998,0.997
BOOKKEEPER,3,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,82.419,0.893,0.549,0.758,0.568
BOOKKEEPER,3,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,100.000,1.000,1.000,1.000,1.000
BOOKKEEPER,4,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,98.929,1.000,0.969,0.985,0.976
BOOKKEEPER,4,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_THRESHOLD,83.762,0.914,0.593,0.782,0.612
