Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa,NPofB20
STORM,1,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.956140350877193
STORM,1,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,99.747,1.000,0.993,0.999,0.995,0.9824561403508771
STORM,1,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.9846491228070176
STORM,2,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,99.204,1.000,0.982,1.000,0.984,0.9356913183279743
STORM,2,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,99.711,1.000,0.994,0.998,0.994,0.9421221864951769
STORM,2,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.9437299035369775
STORM,3,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,67.380,1.000,0.557,0.999,0.399,0.9548300536672629
STORM,3,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,84.826,0.999,0.795,0.997,0.670,0.9566189624329159
STORM,3,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,76.333,1.000,0.678,0.840,0.527,0.6435599284436494
STORM,4,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,87.199,0.998,0.844,0.996,0.664,0.9491682070240296
STORM,4,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,79.405,0.999,0.748,0.996,0.522,0.93137707948244
STORM,4,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,98.776,0.991,0.994,0.975,0.959,0.9452402957486137
STORM,5,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.943344081068632
STORM,5,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,81.433,0.999,0.772,0.997,0.556,0.9242284661446338
STORM,5,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,99.981,1.000,1.000,1.000,0.999,0.9442653155228006
STORM,6,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,98.599,0.983,1.000,0.987,0.955,0.9336293526524889
STORM,6,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,81.232,0.987,0.775,0.976,0.557,0.91493339565319
STORM,6,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,98.805,0.985,1.000,0.970,0.962,0.9345641505024539
STORM,7,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,90.441,0.884,0.998,0.757,0.737,0.8971174127021326
STORM,7,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,79.721,0.868,0.846,0.713,0.508,0.8169674244199672
STORM,7,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,88.876,0.883,0.975,0.827,0.701,0.8851652214670729
STORM,8,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,97.156,0.960,1.000,0.933,0.932,0.9353658536585366
STORM,8,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,42.386,0.698,0.292,0.725,0.008,0.7160282995852647
STORM,8,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,97.173,0.961,1.000,0.954,0.932,0.9446341463414634
STORM,9,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.9534146341463414
STORM,9,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,41.124,0.877,0.172,0.868,0.079,0.7401805318370335
STORM,9,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.9578048780487805
STORM,10,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,99.966,1.000,1.000,1.000,0.999,0.9474835886214442
STORM,10,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,38.134,0.950,0.111,0.946,0.063,0.7397859922178989
STORM,10,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,99.950,1.000,1.000,0.999,0.999,0.9479698516897641
STORM,11,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.9450522732798444
STORM,11,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,36.841,0.971,0.089,0.971,0.053,0.7470817120622568
STORM,11,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.9457816678823243
STORM,12,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.9452954048140044
STORM,12,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,36.069,0.978,0.077,0.981,0.046,0.7634330172623389
STORM,12,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.9455385363481643
STORM,13,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,96.846,0.954,1.000,0.970,0.928,0.9463291139240506
STORM,13,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,38.094,0.915,0.068,0.937,0.039,0.7640506329113924
STORM,13,IBK,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,96.830,0.954,1.000,0.954,0.928,0.9460759493670886
STORM,14,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,99.967,1.000,1.000,1.000,0.999,0.9262067222643416
STORM,14,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,NO_COST_SENSITIVE,37.660,0.919,0.060,0.965,0.035,0.7194844579226687
